Property Name,Bedrooms,View,Location,Size (sqft),Price (USD),Description
Loft #1,1,lake view,"Madison, WI",2409,2945882,"A 2409 sqft loft with 1 bedrooms, lake view, located in Madison, WI, priced at $2,945,882."
Townhouse #2,3,forest view,"Virginia Beach, VA",2895,2539454,"A 2895 sqft townhouse with 3 bedrooms, forest view, located in Virginia Beach, VA, priced at $2,539,454."
Loft #3,2,forest view,"Portland, OR",2864,453421,"A 2864 sqft loft with 2 bedrooms, forest view, located in Portland, OR, priced at $453,421."
Townhouse #4,5,park view,"Pittsburgh, PA",2095,3443565,"A 2095 sqft townhouse with 5 bedrooms, park view, located in Pittsburgh, PA, priced at $3,443,565."
Loft #5,4,golf course view,"Richmond, VA",1719,3810872,"A 1719 sqft loft with 4 bedrooms, golf course view, located in Richmond, VA, priced at $3,810,872."
Villa #6,4,river view,"Sacramento, CA",2248,1716045,"A 2248 sqft villa with 4 bedrooms, river view, located in Sacramento, CA, priced at $1,716,045."
Penthouse #7,3,golf course view,"Washington, DC",2794,1434575,"A 2794 sqft penthouse with 3 bedrooms, golf course view, located in Washington, DC, priced at $1,434,575."
Townhouse #8,3,park view,"Tucson, AZ",2387,253055,"A 2387 sqft townhouse with 3 bedrooms, park view, located in Tucson, AZ, priced at $253,055."
Condo #9,1,park view,"Palm Springs, CA",1584,1676150,"A 1584 sqft condo with 1 bedrooms, park view, located in Palm Springs, CA, priced at $1,676,150."
Townhouse #10,2,ocean view,"Boulder, CO",918,933940,"A 918 sqft townhouse with 2 bedrooms, ocean view, located in Boulder, CO, priced at $933,940."
Penthouse #11,2,lake view,"Los Angeles, CA",2513,1307227,"A 2513 sqft penthouse with 2 bedrooms, lake view, located in Los Angeles, CA, priced at $1,307,227."
Loft #12,5,garden view,"Phoenix, AZ",967,318076,"A 967 sqft loft with 5 bedrooms, garden view, located in Phoenix, AZ, priced at $318,076."
House #13,2,mountain view,"Savannah, GA",1407,4470483,"A 1407 sqft house with 2 bedrooms, mountain view, located in Savannah, GA, priced at $4,470,483."
Villa #14,1,river view,"Naples, FL",1051,1792378,"A 1051 sqft villa with 1 bedrooms, river view, located in Naples, FL, priced at $1,792,378."
Studio #15,4,river view,"Honolulu, HI",2775,1184958,"A 2775 sqft studio with 4 bedrooms, river view, located in Honolulu, HI, priced at $1,184,958."
Villa #16,3,golf course view,"Burlington, VT",2851,2969418,"A 2851 sqft villa with 3 bedrooms, golf course view, located in Burlington, VT, priced at $2,969,418."
Studio #17,5,park view,"Lake Tahoe, NV",1911,342636,"A 1911 sqft studio with 5 bedrooms, park view, located in Lake Tahoe, NV, priced at $342,636."
Condo #18,2,mountain view,"Long Beach, CA",2332,705525,"A 2332 sqft condo with 2 bedrooms, mountain view, located in Long Beach, CA, priced at $705,525."
Townhouse #19,2,mountain view,"Honolulu, HI",1299,2426910,"A 1299 sqft townhouse with 2 bedrooms, mountain view, located in Honolulu, HI, priced at $2,426,910."
Loft #20,2,golf course view,"Washington, DC",1345,3593406,"A 1345 sqft loft with 2 bedrooms, golf course view, located in Washington, DC, priced at $3,593,406."
House #21,1,desert view,"Dallas, TX",1085,2300717,"A 1085 sqft house with 1 bedrooms, desert view, located in Dallas, TX, priced at $2,300,717."
Penthouse #22,2,river view,"Malibu, CA",2978,2377809,"A 2978 sqft penthouse with 2 bedrooms, river view, located in Malibu, CA, priced at $2,377,809."
Penthouse #23,5,lake view,"Palm Springs, CA",2349,2206633,"A 2349 sqft penthouse with 5 bedrooms, lake view, located in Palm Springs, CA, priced at $2,206,633."
Villa #24,3,golf course view,"Chicago, IL",2253,4008888,"A 2253 sqft villa with 3 bedrooms, golf course view, located in Chicago, IL, priced at $4,008,888."
Studio #25,1,garden view,"Aspen, CO",936,4249994,"A 936 sqft studio with 1 bedrooms, garden view, located in Aspen, CO, priced at $4,249,994."
Studio #26,3,garden view,"Santa Cruz, CA",2505,2082051,"A 2505 sqft studio with 3 bedrooms, garden view, located in Santa Cruz, CA, priced at $2,082,051."
House #27,4,river view,"Aspen, CO",1892,897449,"A 1892 sqft house with 4 bedrooms, river view, located in Aspen, CO, priced at $897,449."
Loft #28,2,forest view,"Tucson, AZ",990,2711275,"A 990 sqft loft with 2 bedrooms, forest view, located in Tucson, AZ, priced at $2,711,275."
Townhouse #29,2,garden view,"Salt Lake City, UT",2491,4684728,"A 2491 sqft townhouse with 2 bedrooms, garden view, located in Salt Lake City, UT, priced at $4,684,728."
House #30,4,forest view,"Minneapolis, MN",1532,1893678,"A 1532 sqft house with 4 bedrooms, forest view, located in Minneapolis, MN, priced at $1,893,678."
Condo #31,3,forest view,"San Francisco, CA",1159,1274251,"A 1159 sqft condo with 3 bedrooms, forest view, located in San Francisco, CA, priced at $1,274,251."
Penthouse #32,1,city skyline view,"Portland, OR",1059,1416840,"A 1059 sqft penthouse with 1 bedrooms, city skyline view, located in Portland, OR, priced at $1,416,840."
Apartment #33,3,river view,"Naples, FL",1415,2316878,"A 1415 sqft apartment with 3 bedrooms, river view, located in Naples, FL, priced at $2,316,878."
Penthouse #34,4,ocean view,"Honolulu, HI",950,3170711,"A 950 sqft penthouse with 4 bedrooms, ocean view, located in Honolulu, HI, priced at $3,170,711."
Loft #35,3,river view,"Minneapolis, MN",2497,2617788,"A 2497 sqft loft with 3 bedrooms, river view, located in Minneapolis, MN, priced at $2,617,788."
Loft #36,2,park view,"San Francisco, CA",1938,1799748,"A 1938 sqft loft with 2 bedrooms, park view, located in San Francisco, CA, priced at $1,799,748."
Studio #37,3,desert view,"Raleigh, NC",2805,3604500,"A 2805 sqft studio with 3 bedrooms, desert view, located in Raleigh, NC, priced at $3,604,500."
Loft #38,5,mountain view,"Lake Placid, NY",1208,3124452,"A 1208 sqft loft with 5 bedrooms, mountain view, located in Lake Placid, NY, priced at $3,124,452."
Townhouse #39,3,garden view,"Phoenix, AZ",1521,4306904,"A 1521 sqft townhouse with 3 bedrooms, garden view, located in Phoenix, AZ, priced at $4,306,904."
House #40,5,forest view,"Boston, MA",1648,4609935,"A 1648 sqft house with 5 bedrooms, forest view, located in Boston, MA, priced at $4,609,935."
Villa #41,1,river view,"Boston, MA",1322,1048214,"A 1322 sqft villa with 1 bedrooms, river view, located in Boston, MA, priced at $1,048,214."
Condo #42,2,desert view,"San Francisco, CA",1705,1911123,"A 1705 sqft condo with 2 bedrooms, desert view, located in San Francisco, CA, priced at $1,911,123."
Townhouse #43,4,garden view,"Sacramento, CA",1300,3649126,"A 1300 sqft townhouse with 4 bedrooms, garden view, located in Sacramento, CA, priced at $3,649,126."
Villa #44,2,forest view,"Madison, WI",2337,2003153,"A 2337 sqft villa with 2 bedrooms, forest view, located in Madison, WI, priced at $2,003,153."
Apartment #45,5,mountain view,"Long Beach, CA",1375,2659695,"A 1375 sqft apartment with 5 bedrooms, mountain view, located in Long Beach, CA, priced at $2,659,695."
Studio #46,1,park view,"Washington, DC",2506,1322972,"A 2506 sqft studio with 1 bedrooms, park view, located in Washington, DC, priced at $1,322,972."
Penthouse #47,5,ocean view,"Sacramento, CA",1458,2348196,"A 1458 sqft penthouse with 5 bedrooms, ocean view, located in Sacramento, CA, priced at $2,348,196."
Villa #48,4,desert view,"Portland, OR",2933,3334862,"A 2933 sqft villa with 4 bedrooms, desert view, located in Portland, OR, priced at $3,334,862."
Villa #49,3,ocean view,"Madison, WI",1545,398982,"A 1545 sqft villa with 3 bedrooms, ocean view, located in Madison, WI, priced at $398,982."
Apartment #50,1,mountain view,"Lake Placid, NY",2511,1429925,"A 2511 sqft apartment with 1 bedrooms, mountain view, located in Lake Placid, NY, priced at $1,429,925."
Penthouse #51,4,city skyline view,"Savannah, GA",966,2292180,"A 966 sqft penthouse with 4 bedrooms, city skyline view, located in Savannah, GA, priced at $2,292,180."
House #52,3,park view,"Washington, DC",2403,407425,"A 2403 sqft house with 3 bedrooms, park view, located in Washington, DC, priced at $407,425."
House #53,1,ocean view,"Washington, DC",1324,4421756,"A 1324 sqft house with 1 bedrooms, ocean view, located in Washington, DC, priced at $4,421,756."
Villa #54,5,city skyline view,"Richmond, VA",1463,4189931,"A 1463 sqft villa with 5 bedrooms, city skyline view, located in Richmond, VA, priced at $4,189,931."
Penthouse #55,5,river view,"Washington, DC",2078,2452501,"A 2078 sqft penthouse with 5 bedrooms, river view, located in Washington, DC, priced at $2,452,501."
Townhouse #56,2,golf course view,"Raleigh, NC",2029,451174,"A 2029 sqft townhouse with 2 bedrooms, golf course view, located in Raleigh, NC, priced at $451,174."
Townhouse #57,1,golf course view,"Spokane, WA",2141,783847,"A 2141 sqft townhouse with 1 bedrooms, golf course view, located in Spokane, WA, priced at $783,847."
Apartment #58,1,city skyline view,"Raleigh, NC",1605,744260,"A 1605 sqft apartment with 1 bedrooms, city skyline view, located in Raleigh, NC, priced at $744,260."
Apartment #59,1,garden view,"Las Vegas, NV",2935,2588441,"A 2935 sqft apartment with 1 bedrooms, garden view, located in Las Vegas, NV, priced at $2,588,441."
Villa #60,3,park view,"Seattle, WA",1952,3178245,"A 1952 sqft villa with 3 bedrooms, park view, located in Seattle, WA, priced at $3,178,245."
Condo #61,2,mountain view,"Santa Cruz, CA",1072,2798804,"A 1072 sqft condo with 2 bedrooms, mountain view, located in Santa Cruz, CA, priced at $2,798,804."
Townhouse #62,3,mountain view,"Burlington, VT",2316,4522659,"A 2316 sqft townhouse with 3 bedrooms, mountain view, located in Burlington, VT, priced at $4,522,659."
Studio #63,1,park view,"Eugene, OR",2493,966558,"A 2493 sqft studio with 1 bedrooms, park view, located in Eugene, OR, priced at $966,558."
Condo #64,4,desert view,"Miami, FL",2681,4087552,"A 2681 sqft condo with 4 bedrooms, desert view, located in Miami, FL, priced at $4,087,552."
Penthouse #65,2,ocean view,"Brooklyn, NY",2264,2201585,"A 2264 sqft penthouse with 2 bedrooms, ocean view, located in Brooklyn, NY, priced at $2,201,585."
Apartment #66,1,city skyline view,"Asheville, NC",2688,2008241,"A 2688 sqft apartment with 1 bedrooms, city skyline view, located in Asheville, NC, priced at $2,008,241."
Studio #67,3,lake view,"Chicago, IL",1829,3018371,"A 1829 sqft studio with 3 bedrooms, lake view, located in Chicago, IL, priced at $3,018,371."
Studio #68,4,city skyline view,"Boulder, CO",1909,2319152,"A 1909 sqft studio with 4 bedrooms, city skyline view, located in Boulder, CO, priced at $2,319,152."
Loft #69,4,golf course view,"Pittsburgh, PA",2651,4118551,"A 2651 sqft loft with 4 bedrooms, golf course view, located in Pittsburgh, PA, priced at $4,118,551."
Townhouse #70,4,garden view,"Bend, OR",2531,3415535,"A 2531 sqft townhouse with 4 bedrooms, garden view, located in Bend, OR, priced at $3,415,535."
Villa #71,4,ocean view,"Santa Monica, CA",1538,994293,"A 1538 sqft villa with 4 bedrooms, ocean view, located in Santa Monica, CA, priced at $994,293."
Villa #72,2,garden view,"Los Angeles, CA",1216,4900757,"A 1216 sqft villa with 2 bedrooms, garden view, located in Los Angeles, CA, priced at $4,900,757."
Condo #73,1,lake view,"Manhattan, NY",2363,1562614,"A 2363 sqft condo with 1 bedrooms, lake view, located in Manhattan, NY, priced at $1,562,614."
Villa #74,5,park view,"Washington, DC",2692,3649260,"A 2692 sqft villa with 5 bedrooms, park view, located in Washington, DC, priced at $3,649,260."
Villa #75,5,mountain view,"Santa Monica, CA",2044,2898130,"A 2044 sqft villa with 5 bedrooms, mountain view, located in Santa Monica, CA, priced at $2,898,130."
Villa #76,2,desert view,"Sacramento, CA",2646,4302142,"A 2646 sqft villa with 2 bedrooms, desert view, located in Sacramento, CA, priced at $4,302,142."
Townhouse #77,4,forest view,"Brooklyn, NY",1941,1606805,"A 1941 sqft townhouse with 4 bedrooms, forest view, located in Brooklyn, NY, priced at $1,606,805."
Condo #78,4,garden view,"Charleston, SC",1980,2951325,"A 1980 sqft condo with 4 bedrooms, garden view, located in Charleston, SC, priced at $2,951,325."
Loft #79,4,city skyline view,"Boulder, CO",2897,2796146,"A 2897 sqft loft with 4 bedrooms, city skyline view, located in Boulder, CO, priced at $2,796,146."
Condo #80,2,mountain view,"Raleigh, NC",1656,1571798,"A 1656 sqft condo with 2 bedrooms, mountain view, located in Raleigh, NC, priced at $1,571,798."
Condo #81,2,city skyline view,"Denver, CO",1168,2967306,"A 1168 sqft condo with 2 bedrooms, city skyline view, located in Denver, CO, priced at $2,967,306."
Townhouse #82,5,garden view,"Palm Springs, CA",2985,3204721,"A 2985 sqft townhouse with 5 bedrooms, garden view, located in Palm Springs, CA, priced at $3,204,721."
Penthouse #83,3,mountain view,"Las Vegas, NV",2357,3091305,"A 2357 sqft penthouse with 3 bedrooms, mountain view, located in Las Vegas, NV, priced at $3,091,305."
Condo #84,1,city skyline view,"Madison, WI",1787,4100610,"A 1787 sqft condo with 1 bedrooms, city skyline view, located in Madison, WI, priced at $4,100,610."
House #85,5,river view,"Virginia Beach, VA",1658,3068124,"A 1658 sqft house with 5 bedrooms, river view, located in Virginia Beach, VA, priced at $3,068,124."
Loft #86,2,park view,"Tucson, AZ",1988,3731061,"A 1988 sqft loft with 2 bedrooms, park view, located in Tucson, AZ, priced at $3,731,061."
Villa #87,3,lake view,"Tucson, AZ",2753,1337314,"A 2753 sqft villa with 3 bedrooms, lake view, located in Tucson, AZ, priced at $1,337,314."
Apartment #88,4,mountain view,"Minneapolis, MN",2681,282383,"A 2681 sqft apartment with 4 bedrooms, mountain view, located in Minneapolis, MN, priced at $282,383."
Villa #89,4,city skyline view,"Virginia Beach, VA",1704,3693584,"A 1704 sqft villa with 4 bedrooms, city skyline view, located in Virginia Beach, VA, priced at $3,693,584."
Loft #90,2,forest view,"Pittsburgh, PA",1396,381749,"A 1396 sqft loft with 2 bedrooms, forest view, located in Pittsburgh, PA, priced at $381,749."
House #91,5,city skyline view,"Nashville, TN",1586,788839,"A 1586 sqft house with 5 bedrooms, city skyline view, located in Nashville, TN, priced at $788,839."
Condo #92,1,mountain view,"Portland, OR",2141,3141006,"A 2141 sqft condo with 1 bedrooms, mountain view, located in Portland, OR, priced at $3,141,006."
Villa #93,2,ocean view,"Spokane, WA",2283,4533412,"A 2283 sqft villa with 2 bedrooms, ocean view, located in Spokane, WA, priced at $4,533,412."
Loft #94,5,lake view,"Minneapolis, MN",1738,1857762,"A 1738 sqft loft with 5 bedrooms, lake view, located in Minneapolis, MN, priced at $1,857,762."
House #95,2,ocean view,"Palm Springs, CA",1415,430092,"A 1415 sqft house with 2 bedrooms, ocean view, located in Palm Springs, CA, priced at $430,092."
Condo #96,4,lake view,"Boston, MA",1352,2608264,"A 1352 sqft condo with 4 bedrooms, lake view, located in Boston, MA, priced at $2,608,264."
Villa #97,4,mountain view,"Burlington, VT",1745,2874278,"A 1745 sqft villa with 4 bedrooms, mountain view, located in Burlington, VT, priced at $2,874,278."
Studio #98,3,ocean view,"Dallas, TX",1354,758373,"A 1354 sqft studio with 3 bedrooms, ocean view, located in Dallas, TX, priced at $758,373."
Townhouse #99,4,mountain view,"Seattle, WA",1408,3544679,"A 1408 sqft townhouse with 4 bedrooms, mountain view, located in Seattle, WA, priced at $3,544,679."
Studio #100,5,park view,"Charleston, SC",2059,855416,"A 2059 sqft studio with 5 bedrooms, park view, located in Charleston, SC, priced at $855,416."
